date,APR El Cobre Lo Calvo >> Captación y Estanque >> Selección Bomba1 o Bomba2 Estado(13483)
2020-11-30 21:02:51-03:00,1.0
2020-11-30 21:07:51-03:00,1.0
2020-11-30 21:12:52-03:00,1.0
2020-11-30 21:17:52-03:00,1.0
2020-11-30 21:22:52-03:00,1.0
2020-11-30 21:27:53-03:00,1.0
2020-11-30 21:32:53-03:00,1.0
2020-11-30 21:37:53-03:00,1.0
2020-11-30 21:42:54-03:00,1.0
2020-11-30 21:47:54-03:00,1.0
2020-11-30 21:52:54-03:00,1.0
2020-11-30 21:57:55-03:00,1.0
2020-11-30 22:02:55-03:00,1.0
2020-11-30 22:07:55-03:00,1.0
2020-11-30 22:12:56-03:00,1.0
2020-11-30 22:17:56-03:00,1.0
2020-11-30 22:22:56-03:00,1.0
2020-11-30 22:27:56-03:00,1.0
2020-11-30 22:32:57-03:00,1.0
2020-11-30 22:37:57-03:00,1.0
2020-11-30 22:42:57-03:00,1.0
2020-11-30 22:47:58-03:00,1.0
2020-11-30 22:52:58-03:00,1.0
2020-11-30 22:57:58-03:00,1.0
2020-11-30 23:02:59-03:00,1.0
2020-11-30 23:07:59-03:00,1.0
2020-11-30 23:12:59-03:00,1.0
2020-11-30 23:18:00-03:00,1.0
2020-11-30 23:23:00-03:00,1.0
2020-11-30 23:28:00-03:00,1.0
2020-11-30 23:33:00-03:00,1.0
2020-11-30 23:38:01-03:00,1.0
2020-11-30 23:43:01-03:00,1.0
2020-11-30 23:48:01-03:00,1.0
2020-11-30 23:53:02-03:00,1.0
2020-11-30 23:58:02-03:00,1.0
2020-12-01 00:03:02-03:00,1.0
2020-12-01 00:08:03-03:00,1.0
2020-12-01 00:13:03-03:00,1.0
2020-12-01 00:18:03-03:00,1.0
2020-12-01 00:23:04-03:00,1.0
2020-12-01 00:28:04-03:00,1.0
2020-12-01 00:33:04-03:00,1.0
2020-12-01 00:38:05-03:00,1.0
2020-12-01 00:43:05-03:00,1.0
2020-12-01 00:48:05-03:00,1.0
2020-12-01 00:53:06-03:00,1.0
2020-12-01 00:58:06-03:00,1.0
2020-12-01 01:03:06-03:00,1.0
2020-12-01 01:08:06-03:00,1.0
2020-12-01 01:13:07-03:00,1.0
2020-12-01 01:18:07-03:00,1.0
2020-12-01 01:23:07-03:00,1.0
2020-12-01 01:28:08-03:00,1.0
2020-12-01 01:33:08-03:00,1.0
2020-12-01 01:38:08-03:00,1.0
2020-12-01 01:43:09-03:00,1.0
2020-12-01 01:48:09-03:00,1.0
2020-12-01 01:53:09-03:00,1.0
2020-12-01 01:58:10-03:00,1.0
2020-12-01 02:03:10-03:00,1.0
2020-12-01 02:08:11-03:00,1.0
