date,APR El Melón - RP1 >> Pozo 5B >> Horómetro Pozo 5B(9161),APR El Melón - RP1 >> Pozo Dren y B. Elevadoras >> Horómetro Pozo Dren 2(12928),APR El Melón - RP1 >> Pozo Dren y B. Elevadoras >> Horómetro Pozo Dren 1(9037),APR El Melón - RP1 >> Pozo Dren y B. Elevadoras >> Horómetro Pozo 9(19994)
2020-11-30 21:00:53-03:00,,,1369.0,
2020-11-30 21:02:59-03:00,5230.0,,,
2020-11-30 21:04:29-03:00,,,,4941.66416666131
2020-11-30 21:05:53-03:00,,,1369.0,
2020-11-30 21:07:59-03:00,5230.0,,,
2020-11-30 21:10:54-03:00,,,1370.0,
2020-11-30 21:12:59-03:00,5230.0,,,
2020-11-30 21:14:30-03:00,,,,4941.66416666131
2020-11-30 21:15:54-03:00,,,1370.0,
2020-11-30 21:18:00-03:00,5230.0,,,
2020-11-30 21:20:54-03:00,,,1370.0,
2020-11-30 21:23:00-03:00,5230.0,,,
2020-11-30 21:24:31-03:00,,,,4941.66416666131
2020-11-30 21:25:55-03:00,,,1370.0,
2020-11-30 21:28:00-03:00,5230.0,,,
2020-11-30 21:30:55-03:00,,,1370.0,
2020-11-30 21:33:01-03:00,5230.0,,,
2020-11-30 21:34:31-03:00,,,,4941.66416666131
2020-11-30 21:35:55-03:00,,,1370.0,
2020-11-30 21:38:01-03:00,5230.0,,,
2020-11-30 21:40:55-03:00,,,1370.0,
2020-11-30 21:43:01-03:00,5230.0,,,
2020-11-30 21:44:32-03:00,,,,4941.66416666131
2020-11-30 21:45:56-03:00,,,1370.0,
2020-11-30 21:48:02-03:00,5230.0,,,
2020-11-30 21:50:56-03:00,,,1370.0,
2020-11-30 21:53:02-03:00,5230.0,,,
2020-11-30 21:54:32-03:00,,,,4941.66416666131
2020-11-30 21:55:56-03:00,,,1370.0,
2020-11-30 21:58:02-03:00,5230.0,,,
2020-11-30 22:00:57-03:00,,,1370.0,
2020-11-30 22:03:02-03:00,5230.0,,,
2020-11-30 22:04:33-03:00,,,,4941.66416666131
2020-11-30 22:05:57-03:00,,,1370.0,
2020-11-30 22:08:03-03:00,5230.0,,,
2020-11-30 22:10:57-03:00,,,1370.0,
2020-11-30 22:13:03-03:00,5230.0,,,
2020-11-30 22:14:34-03:00,,,,4941.66416666131
2020-11-30 22:15:58-03:00,,,1370.0,
2020-11-30 22:18:03-03:00,5230.0,,,
2020-11-30 22:20:58-03:00,,,1370.0,
2020-11-30 22:23:04-03:00,5230.0,,,
2020-11-30 22:24:34-03:00,,,,4941.66416666131
2020-11-30 22:25:58-03:00,,,1370.0,
2020-11-30 22:28:04-03:00,5230.0,,,
2020-11-30 22:30:59-03:00,,,1370.0,
2020-11-30 22:33:04-03:00,5230.0,,,
2020-11-30 22:34:35-03:00,,,,4941.66416666131
2020-11-30 22:35:59-03:00,,,1371.0,
2020-11-30 22:38:05-03:00,5230.0,,,
2020-11-30 22:40:59-03:00,,,1371.0,
2020-11-30 22:43:05-03:00,5230.0,,,
2020-11-30 22:44:36-03:00,,,,4941.66416666131
2020-11-30 22:46:00-03:00,,,1371.0,
2020-11-30 22:48:05-03:00,5230.0,,,
2020-11-30 22:51:00-03:00,,,1371.0,
2020-11-30 22:53:06-03:00,5230.0,,,
2020-11-30 22:54:36-03:00,,,,4941.66416666131
2020-11-30 22:56:00-03:00,,,1371.0,
2020-11-30 22:58:06-03:00,5230.0,,,
2020-11-30 23:01:00-03:00,,,1371.0,
2020-11-30 23:03:06-03:00,5230.0,,,
2020-11-30 23:04:37-03:00,,,,4941.66416666131
2020-11-30 23:06:01-03:00,,,1371.0,
2020-11-30 23:08:07-03:00,5230.0,,,
2020-11-30 23:11:01-03:00,,,1371.0,
2020-11-30 23:13:07-03:00,5230.0,,,
2020-11-30 23:14:37-03:00,,,,4941.66416666131
2020-11-30 23:16:01-03:00,,,1371.0,
2020-11-30 23:18:07-03:00,5230.0,,,
2020-11-30 23:21:02-03:00,,,1371.0,
2020-11-30 23:23:07-03:00,5230.0,,,
2020-11-30 23:24:38-03:00,,,,4941.66416666131
2020-11-30 23:26:02-03:00,,,1371.0,
2020-11-30 23:28:08-03:00,5230.0,,,
2020-11-30 23:31:02-03:00,,,1371.0,
2020-11-30 23:33:08-03:00,5230.0,,,
2020-11-30 23:34:39-03:00,,,,4941.66416666131
2020-11-30 23:36:03-03:00,,,1371.0,
2020-11-30 23:38:08-03:00,5230.0,,,
2020-11-30 23:41:03-03:00,,,1371.0,
2020-11-30 23:43:09-03:00,5230.0,,,
2020-11-30 23:44:39-03:00,,,,4941.66416666131
2020-11-30 23:46:03-03:00,,,1371.0,
2020-11-30 23:48:09-03:00,5230.0,,,
2020-11-30 23:51:04-03:00,,,1371.0,
2020-11-30 23:53:09-03:00,5230.0,,,
2020-11-30 23:54:40-03:00,,,,4941.66416666131
2020-11-30 23:56:04-03:00,,,1371.0,
2020-11-30 23:58:10-03:00,5230.0,,,
2020-12-01 00:01:04-03:00,,,1371.0,
2020-12-01 00:03:10-03:00,5230.0,,,
2020-12-01 00:04:40-03:00,,,,4941.66416666131
2020-12-01 00:06:05-03:00,,,1371.0,
2020-12-01 00:08:11-03:00,5230.0,,,
2020-12-01 00:11:05-03:00,,,1371.0,
2020-12-01 00:13:11-03:00,5230.0,,,
2020-12-01 00:14:41-03:00,,,,4941.66416666131
2020-12-01 00:16:05-03:00,,,1371.0,
2020-12-01 00:18:11-03:00,5230.0,,,
2020-12-01 00:21:05-03:00,,,1371.0,
2020-12-01 00:23:12-03:00,5230.0,,,
2020-12-01 00:24:42-03:00,,,,4941.66416666131
2020-12-01 00:26:06-03:00,,,1371.0,
