date,APR El Melón - RP1 >> Pozo 5B >> Volumen Pozo 5B(9160),APR El Melón - RP1 >> Estanque Azul >> Volumen Salida Estanque(13481),APR El Melón - RP1 >> Pozo Dren y B. Elevadoras >> Volumen Pozo Dren 2(12926),APR El Melón - RP1 >> Pozo Dren y B. Elevadoras >> Volumen Bomba Elevadoras(9898),APR El Melón - RP1 >> Pozo Dren y B. Elevadoras >> Volumen Pozo Dren 1(9036),APR El Melón - RP1 >> Pozo Dren y B. Elevadoras >> Volumen Pozo 9(19809)
2020-11-30 21:00:53-03:00,,,,,203752.0,
2020-11-30 21:02:59-03:00,107926.0,,,36627.0,,
2020-11-30 21:03:55-03:00,,,,,,131591.9688
2020-11-30 21:04:26-03:00,,357930.5625,,,,
2020-11-30 21:04:29-03:00,,,,,,131591.9688
2020-11-30 21:05:53-03:00,,,,,203764.0,
2020-11-30 21:07:59-03:00,107926.0,,,36627.0,,
2020-11-30 21:08:55-03:00,,,,,,131591.9688
2020-11-30 21:09:26-03:00,,357937.9688,,,,
2020-11-30 21:09:30-03:00,,,,,,131591.9688
2020-11-30 21:10:54-03:00,,,,,203771.0,
2020-11-30 21:12:59-03:00,107926.0,,,36627.0,,
2020-11-30 21:13:55-03:00,,,,,,131591.9688
2020-11-30 21:14:27-03:00,,357945.0312,,,,
2020-11-30 21:14:30-03:00,,,,,,131591.9688
2020-11-30 21:15:54-03:00,,,,,203774.0,
2020-11-30 21:18:00-03:00,107926.0,,,36627.0,,
2020-11-30 21:18:56-03:00,,,,,,131591.9688
2020-11-30 21:19:29-03:00,,357952.2812,,,,
2020-11-30 21:19:30-03:00,,,,,,131591.9688
2020-11-30 21:20:54-03:00,,,,,203786.0,
2020-11-30 21:23:00-03:00,107926.0,,,36627.0,,
2020-11-30 21:23:56-03:00,,,,,,131591.9688
2020-11-30 21:24:27-03:00,,357959.8438,,,,
2020-11-30 21:24:31-03:00,,,,,,131591.9688
2020-11-30 21:25:55-03:00,,,,,203799.0,
2020-11-30 21:28:00-03:00,107926.0,,,36627.0,,
2020-11-30 21:28:56-03:00,,,,,,131591.9688
2020-11-30 21:29:28-03:00,,357966.9062,,,,
2020-11-30 21:29:31-03:00,,,,,,131591.9688
2020-11-30 21:30:55-03:00,,,,,203811.0,
2020-11-30 21:33:01-03:00,107926.0,,,36627.0,,
2020-11-30 21:33:56-03:00,,,,,,131591.9688
2020-11-30 21:34:28-03:00,,357973.75,,,,
2020-11-30 21:34:31-03:00,,,,,,131591.9688
2020-11-30 21:35:55-03:00,,,,,203816.0,
2020-11-30 21:38:01-03:00,107926.0,,,36627.0,,
2020-11-30 21:38:57-03:00,,,,,,131591.9688
2020-11-30 21:39:28-03:00,,357980.8438,,,,
2020-11-30 21:39:32-03:00,,,,,,131591.9688
2020-11-30 21:40:55-03:00,,,,,203821.0,
2020-11-30 21:43:01-03:00,107926.0,,,36627.0,,
2020-11-30 21:43:57-03:00,,,,,,131591.9688
2020-11-30 21:44:29-03:00,,357987.9062,,,,
2020-11-30 21:44:32-03:00,,,,,,131591.9688
2020-11-30 21:45:56-03:00,,,,,203834.0,
2020-11-30 21:48:02-03:00,107926.0,,,36627.0,,
2020-11-30 21:48:57-03:00,,,,,,131591.9688
2020-11-30 21:49:29-03:00,,357994.875,,,,
2020-11-30 21:49:32-03:00,,,,,,131591.9688
2020-11-30 21:50:56-03:00,,,,,203846.0,
2020-11-30 21:53:02-03:00,107926.0,,,36627.0,,
2020-11-30 21:53:58-03:00,,,,,,131591.9688
2020-11-30 21:54:29-03:00,,358001.6875,,,,
2020-11-30 21:54:32-03:00,,,,,,131591.9688
2020-11-30 21:55:56-03:00,,,,,203859.0,
2020-11-30 21:58:02-03:00,107926.0,,,36627.0,,
2020-11-30 21:58:58-03:00,,,,,,131591.9688
2020-11-30 21:59:30-03:00,,358008.5312,,,,
2020-11-30 21:59:33-03:00,,,,,,131591.9688
2020-11-30 22:00:57-03:00,,,,,203860.0,
2020-11-30 22:03:02-03:00,107926.0,,,36627.0,,
2020-11-30 22:03:58-03:00,,,,,,131591.9688
2020-11-30 22:04:30-03:00,,358015.3125,,,,
