date,APR El Melón - RP2 >> Casa de la Cultura >> Volumen Pozo Casa Cultura 3(8788),APR El Melón - RP2 >> Casa de la Cultura >> Volumen Pozo Plazoleta(19811),APR El Melón - RP2 >> Casa de la Cultura >> Volumen Pozo Casa Cultura 2(12943),APR El Melón - RP2 >> Gabriela Mistral >> Volumen Salida Camión Aljibe Estanques(21271),APR El Melón - RP2 >> Gabriela Mistral >> Volumen Pozo 4 Gabriela Mistral(8852),APR El Melón - RP2 >> Pozo APR - ll >> Volumen Pozo ll(19236),APR El Melón - RP2 >> Pozo APR - l >> Volumen Pozo l(19174)
2020-11-30 21:01:06-03:00,,,,64627.0,47326.0,,
2020-11-30 21:02:32-03:00,,12502.0,,,,,
2020-11-30 21:03:09-03:00,305947.0,,46056.0,,,,
2020-11-30 21:06:06-03:00,,,,64630.0,47327.0,,
2020-11-30 21:06:42-03:00,,12502.0,,,,,
2020-11-30 21:07:32-03:00,,12502.0,,,,,
2020-11-30 21:08:09-03:00,305949.0,,46057.0,,,,
2020-11-30 21:11:06-03:00,,,,64634.0,47327.0,,
2020-11-30 21:11:42-03:00,,12502.0,,,,,
2020-11-30 21:12:33-03:00,,12502.0,,,,,
2020-11-30 21:13:10-03:00,305951.0,,46057.0,,,,
2020-11-30 21:16:07-03:00,,,,64638.0,47328.0,,
2020-11-30 21:16:43-03:00,,12503.0,,,,,
2020-11-30 21:17:33-03:00,,12503.0,,,,,
2020-11-30 21:18:10-03:00,305954.0,,46058.0,,,,
2020-11-30 21:21:07-03:00,,,,64641.0,47329.0,,
2020-11-30 21:21:43-03:00,,12503.0,,,,,
2020-11-30 21:22:33-03:00,,12503.0,,,,,
2020-11-30 21:23:09-03:00,305956.0,,46059.0,,,,
2020-11-30 21:26:07-03:00,,,,64645.0,47329.0,,
2020-11-30 21:26:43-03:00,,12503.0,,,,,
2020-11-30 21:27:34-03:00,,12503.0,,,,,
2020-11-30 21:28:10-03:00,305958.0,,46059.0,,,,
2020-11-30 21:31:07-03:00,,,,64649.0,47330.0,,
2020-11-30 21:31:44-03:00,,12503.0,,,,,
2020-11-30 21:32:34-03:00,,12503.0,,,,,
2020-11-30 21:33:10-03:00,305960.0,,46060.0,,,,
2020-11-30 21:36:08-03:00,,,,64653.0,47331.0,,
2020-11-30 21:36:44-03:00,,12503.0,,,,,
2020-11-30 21:37:34-03:00,,12503.0,,,,,
2020-11-30 21:38:10-03:00,305963.0,,46060.0,,,,
2020-11-30 21:41:08-03:00,,,,64656.0,47331.0,,
2020-11-30 21:41:44-03:00,,12504.0,,,,,
2020-11-30 21:42:35-03:00,,12504.0,,,,,
2020-11-30 21:43:11-03:00,305965.0,,46061.0,,,,
2020-11-30 21:46:08-03:00,,,,64660.0,47332.0,,
2020-11-30 21:46:45-03:00,,12504.0,,,,,
2020-11-30 21:47:35-03:00,,12504.0,,,,,
2020-11-30 21:48:12-03:00,305967.0,,46062.0,,,,
2020-11-30 21:51:09-03:00,,,,64664.0,47333.0,,
2020-11-30 21:51:45-03:00,,12504.0,,,,,
2020-11-30 21:52:35-03:00,,12504.0,,,,,
2020-11-30 21:53:12-03:00,305970.0,,46062.0,,,,
2020-11-30 21:56:09-03:00,,,,64667.0,47333.0,,
2020-11-30 21:56:45-03:00,,12504.0,,,,,
2020-11-30 21:57:35-03:00,,12504.0,,,,,
2020-11-30 21:58:12-03:00,305972.0,,46063.0,,,,
2020-11-30 22:01:09-03:00,,,,64671.0,47334.0,,
2020-11-30 22:01:45-03:00,,12504.0,,,,,
2020-11-30 22:02:36-03:00,,12504.0,,,,,
2020-11-30 22:03:13-03:00,305974.0,,46064.0,,,,
2020-11-30 22:06:10-03:00,,,,64675.0,47334.0,,
2020-11-30 22:06:46-03:00,,12505.0,,,,,
2020-11-30 22:07:36-03:00,,12505.0,,,,,
2020-11-30 22:08:13-03:00,305977.0,,46064.0,,,,
2020-11-30 22:11:10-03:00,,,,64679.0,47335.0,,
2020-11-30 22:11:46-03:00,,12505.0,,,,,
2020-11-30 22:12:36-03:00,,12505.0,,,,,
2020-11-30 22:13:14-03:00,305979.0,,46065.0,,,,
2020-11-30 22:16:10-03:00,,,,64682.0,47336.0,,
2020-11-30 22:16:46-03:00,,12505.0,,,,,
2020-11-30 22:17:37-03:00,,12505.0,,,,,
2020-11-30 22:18:14-03:00,305981.0,,46066.0,,,,
2020-11-30 22:21:11-03:00,,,,64686.0,47336.0,,
2020-11-30 22:21:47-03:00,,12505.0,,,,,
2020-11-30 22:22:37-03:00,,12505.0,,,,,
2020-11-30 22:23:14-03:00,305983.0,,46066.0,,,,
2020-11-30 22:26:11-03:00,,,,64690.0,47337.0,,
2020-11-30 22:26:47-03:00,,12505.0,,,,,
2020-11-30 22:27:37-03:00,,12505.0,,,,,
2020-11-30 22:28:15-03:00,305986.0,,46067.0,,,,
2020-11-30 22:31:11-03:00,,,,64693.0,47338.0,,
2020-11-30 22:31:47-03:00,,12506.0,,,,,
2020-11-30 22:32:38-03:00,,12506.0,,,,,
2020-11-30 22:33:15-03:00,305988.0,,46067.0,,,,
2020-11-30 22:36:11-03:00,,,,64697.0,47338.0,,
2020-11-30 22:36:48-03:00,,12506.0,,,,,
2020-11-30 22:37:38-03:00,,12506.0,,,,,
2020-11-30 22:38:15-03:00,305990.0,,46068.0,,,,
2020-11-30 22:41:12-03:00,,,,64701.0,47339.0,,
2020-11-30 22:41:48-03:00,,12506.0,,,,,
2020-11-30 22:42:38-03:00,,12506.0,,,,,
2020-11-30 22:43:15-03:00,305993.0,,46069.0,,,,
2020-11-30 22:46:12-03:00,,,,64704.0,47340.0,,
2020-11-30 22:46:48-03:00,,12506.0,,,,,
2020-11-30 22:47:39-03:00,,12506.0,,,,,
2020-11-30 22:48:16-03:00,305995.0,,46069.0,,,,
2020-11-30 22:51:12-03:00,,,,64708.0,47340.0,,
2020-11-30 22:51:49-03:00,,12506.0,,,,,
2020-11-30 22:52:39-03:00,,12506.0,,,,,
2020-11-30 22:53:16-03:00,305997.0,,46070.0,,,,
2020-11-30 22:56:13-03:00,,,,64712.0,47341.0,,
2020-11-30 22:56:49-03:00,,12506.0,,,,,
2020-11-30 22:57:39-03:00,,12507.0,,,,,
