date,APR El Melón - RP3 Cementos Melón >> Cementos Melón >> Estado Bomba(13118),APR El Melón - RP3 Cementos Melón >> Cementos Melón >> Estado Bomba Elevadora(25567)
2020-11-30 21:01:42-03:00,1.0,
2020-11-30 21:02:32-03:00,1.0,
2020-11-30 21:06:42-03:00,1.0,
2020-11-30 21:07:32-03:00,1.0,
2020-11-30 21:11:42-03:00,1.0,
2020-11-30 21:12:33-03:00,1.0,
2020-11-30 21:16:43-03:00,1.0,
2020-11-30 21:17:33-03:00,1.0,
2020-11-30 21:21:43-03:00,1.0,
2020-11-30 21:22:33-03:00,1.0,
2020-11-30 21:26:43-03:00,1.0,
2020-11-30 21:27:34-03:00,1.0,
2020-11-30 21:31:44-03:00,1.0,
2020-11-30 21:32:34-03:00,1.0,
2020-11-30 21:36:44-03:00,1.0,
2020-11-30 21:37:34-03:00,1.0,
2020-11-30 21:41:44-03:00,1.0,
2020-11-30 21:42:35-03:00,1.0,
2020-11-30 21:46:45-03:00,1.0,
2020-11-30 21:47:35-03:00,1.0,
2020-11-30 21:51:45-03:00,1.0,
2020-11-30 21:52:35-03:00,1.0,
2020-11-30 21:56:45-03:00,1.0,
2020-11-30 21:57:35-03:00,1.0,
2020-11-30 22:01:45-03:00,1.0,
2020-11-30 22:02:36-03:00,1.0,
2020-11-30 22:06:46-03:00,1.0,
2020-11-30 22:07:36-03:00,1.0,
2020-11-30 22:11:46-03:00,1.0,
2020-11-30 22:12:36-03:00,1.0,
2020-11-30 22:16:46-03:00,1.0,
2020-11-30 22:17:37-03:00,1.0,
2020-11-30 22:21:47-03:00,1.0,
2020-11-30 22:22:37-03:00,1.0,
2020-11-30 22:26:47-03:00,1.0,
2020-11-30 22:27:37-03:00,1.0,
2020-11-30 22:31:47-03:00,1.0,
2020-11-30 22:32:38-03:00,1.0,
2020-11-30 22:36:48-03:00,1.0,
2020-11-30 22:37:38-03:00,1.0,
2020-11-30 22:41:48-03:00,1.0,
2020-11-30 22:42:38-03:00,1.0,
2020-11-30 22:46:48-03:00,1.0,
2020-11-30 22:47:39-03:00,1.0,
2020-11-30 22:51:49-03:00,1.0,
2020-11-30 22:52:39-03:00,1.0,
2020-11-30 22:56:49-03:00,1.0,
2020-11-30 22:57:39-03:00,1.0,
2020-11-30 23:01:49-03:00,1.0,
2020-11-30 23:02:40-03:00,1.0,
2020-11-30 23:06:49-03:00,1.0,
2020-11-30 23:07:40-03:00,1.0,
2020-11-30 23:11:50-03:00,1.0,
2020-11-30 23:12:40-03:00,1.0,
2020-11-30 23:16:50-03:00,1.0,
2020-11-30 23:17:41-03:00,1.0,
2020-11-30 23:21:50-03:00,1.0,
2020-11-30 23:22:41-03:00,1.0,
2020-11-30 23:26:51-03:00,1.0,
2020-11-30 23:27:41-03:00,1.0,
2020-11-30 23:31:51-03:00,1.0,
2020-11-30 23:32:42-03:00,1.0,
2020-11-30 23:36:51-03:00,1.0,
2020-11-30 23:37:42-03:00,1.0,
2020-11-30 23:41:52-03:00,1.0,
2020-11-30 23:42:42-03:00,1.0,
2020-11-30 23:46:52-03:00,1.0,
2020-11-30 23:47:42-03:00,1.0,
2020-11-30 23:51:52-03:00,1.0,
2020-11-30 23:52:43-03:00,1.0,
2020-11-30 23:56:52-03:00,1.0,
2020-11-30 23:57:43-03:00,1.0,
2020-12-01 00:01:53-03:00,1.0,
2020-12-01 00:02:43-03:00,1.0,
2020-12-01 00:06:53-03:00,1.0,
2020-12-01 00:07:44-03:00,1.0,
2020-12-01 00:11:53-03:00,1.0,
2020-12-01 00:12:44-03:00,1.0,
2020-12-01 00:16:54-03:00,1.0,
2020-12-01 00:17:44-03:00,1.0,
2020-12-01 00:21:54-03:00,1.0,
2020-12-01 00:22:45-03:00,1.0,
2020-12-01 00:26:54-03:00,1.0,
2020-12-01 00:27:45-03:00,1.0,
2020-12-01 00:31:55-03:00,1.0,
2020-12-01 00:32:45-03:00,1.0,
2020-12-01 00:36:55-03:00,1.0,
2020-12-01 00:37:45-03:00,1.0,
2020-12-01 00:41:55-03:00,1.0,
2020-12-01 00:42:46-03:00,1.0,
2020-12-01 00:46:55-03:00,1.0,
2020-12-01 00:47:46-03:00,1.0,
2020-12-01 00:51:56-03:00,1.0,
2020-12-01 00:52:46-03:00,1.0,
2020-12-01 00:56:56-03:00,1.0,
2020-12-01 00:57:47-03:00,1.0,
2020-12-01 01:01:56-03:00,1.0,
2020-12-01 01:02:47-03:00,1.0,
2020-12-01 01:06:57-03:00,1.0,
