date,APR El Sauce >> Pozo 1 >> Caudal Pozo 1(10938),APR El Sauce >> Pozo 2 >> Caudal Pozo 2(10992)
2020-11-30 21:01:10-03:00,,9.09
2020-11-30 21:03:29-03:00,0.0,
2020-11-30 21:06:11-03:00,,9.09
2020-11-30 21:08:30-03:00,0.0,
2020-11-30 21:11:11-03:00,,9.09
2020-11-30 21:13:30-03:00,0.0,
2020-11-30 21:16:11-03:00,,9.09
2020-11-30 21:18:30-03:00,0.0,
2020-11-30 21:21:12-03:00,,8.33
2020-11-30 21:23:31-03:00,0.0,
2020-11-30 21:26:12-03:00,,9.09
2020-11-30 21:28:31-03:00,0.0,
2020-11-30 21:31:12-03:00,,9.09
2020-11-30 21:33:31-03:00,0.0,
2020-11-30 21:36:13-03:00,,9.09
2020-11-30 21:38:32-03:00,0.0,
2020-11-30 21:41:13-03:00,,9.09
2020-11-30 21:43:32-03:00,0.0,
2020-11-30 21:46:13-03:00,,9.09
2020-11-30 21:48:32-03:00,0.0,
2020-11-30 21:51:13-03:00,,9.09
2020-11-30 21:53:33-03:00,0.0,
2020-11-30 21:56:14-03:00,,9.09
2020-11-30 21:58:33-03:00,0.0,
2020-11-30 22:01:14-03:00,,8.33
2020-11-30 22:03:33-03:00,0.0,
2020-11-30 22:06:14-03:00,,9.09
2020-11-30 22:08:34-03:00,0.0,
2020-11-30 22:11:15-03:00,,9.09
2020-11-30 22:13:34-03:00,0.0,
2020-11-30 22:16:15-03:00,,9.09
2020-11-30 22:18:34-03:00,0.0,
2020-11-30 22:21:15-03:00,,9.09
2020-11-30 22:23:35-03:00,0.0,
2020-11-30 22:26:16-03:00,,9.09
2020-11-30 22:28:35-03:00,0.0,
2020-11-30 22:31:16-03:00,,9.09
2020-11-30 22:33:35-03:00,0.0,
2020-11-30 22:36:16-03:00,,9.09
2020-11-30 22:38:36-03:00,0.0,
2020-11-30 22:41:17-03:00,,9.09
2020-11-30 22:43:36-03:00,0.0,
2020-11-30 22:46:17-03:00,,9.09
2020-11-30 22:48:36-03:00,0.0,
2020-11-30 22:51:17-03:00,,9.09
2020-11-30 22:53:37-03:00,0.0,
2020-11-30 22:56:18-03:00,,9.09
2020-11-30 22:58:37-03:00,0.0,
2020-11-30 23:01:18-03:00,,9.09
2020-11-30 23:03:37-03:00,0.0,
2020-11-30 23:06:18-03:00,,9.09
2020-11-30 23:08:38-03:00,0.0,
2020-11-30 23:11:19-03:00,,9.09
2020-11-30 23:13:38-03:00,0.0,
2020-11-30 23:16:19-03:00,,9.09
2020-11-30 23:18:38-03:00,0.0,
2020-11-30 23:21:19-03:00,,9.09
2020-11-30 23:23:39-03:00,0.0,
2020-11-30 23:26:19-03:00,,9.09
2020-11-30 23:28:39-03:00,0.0,
2020-11-30 23:31:20-03:00,,9.09
2020-11-30 23:33:39-03:00,0.0,
2020-11-30 23:36:20-03:00,,9.09
2020-11-30 23:38:40-03:00,0.0,
2020-11-30 23:41:20-03:00,,9.09
2020-11-30 23:43:40-03:00,0.0,
2020-11-30 23:46:21-03:00,,9.09
2020-11-30 23:48:40-03:00,0.0,
2020-11-30 23:51:21-03:00,,9.09
2020-11-30 23:53:41-03:00,0.0,
2020-11-30 23:56:21-03:00,,9.09
2020-11-30 23:58:41-03:00,0.0,
