date,APR El Sauce >> Pozo 1 >> Volumen Pozo 1(10939),APR El Sauce >> Filtro Arena Clorador >> Volumen(11057),APR El Sauce >> Estanque Chacabuquito >> Volumen(11198),APR El Sauce >> Estanque Las Patentes >> Volumen(11144),APR El Sauce >> Pozo 2 >> Volumen Pozo 2(10993)
2020-11-30 21:00:24-03:00,,,,66914.0,
2020-11-30 21:01:06-03:00,,,0.0,,
2020-11-30 21:01:10-03:00,,,,,237626.0
2020-11-30 21:03:29-03:00,0.0,,,,
2020-11-30 21:03:57-03:00,,228593.0,,,
2020-11-30 21:05:24-03:00,,,,66914.0,
2020-11-30 21:06:06-03:00,,,0.0,,
2020-11-30 21:06:11-03:00,,,,,237629.0
2020-11-30 21:08:30-03:00,0.0,,,,
2020-11-30 21:08:58-03:00,,228596.0,,,
2020-11-30 21:10:24-03:00,,,,66914.0,
2020-11-30 21:11:06-03:00,,,0.0,,
2020-11-30 21:11:11-03:00,,,,,237631.0
2020-11-30 21:13:30-03:00,0.0,,,,
2020-11-30 21:13:58-03:00,,228598.0,,,
2020-11-30 21:15:25-03:00,,,,66914.0,
2020-11-30 21:16:07-03:00,,,0.0,,
2020-11-30 21:16:11-03:00,,,,,237634.0
2020-11-30 21:18:30-03:00,0.0,,,,
2020-11-30 21:18:58-03:00,,228601.0,,,
2020-11-30 21:20:25-03:00,,,,66914.0,
2020-11-30 21:21:07-03:00,,,0.0,,
2020-11-30 21:21:12-03:00,,,,,237636.0
2020-11-30 21:23:31-03:00,0.0,,,,
2020-11-30 21:23:59-03:00,,228603.0,,,
2020-11-30 21:25:25-03:00,,,,66914.0,
2020-11-30 21:26:07-03:00,,,0.0,,
2020-11-30 21:26:12-03:00,,,,,237639.0
2020-11-30 21:28:31-03:00,0.0,,,,
2020-11-30 21:28:59-03:00,,228606.0,,,
2020-11-30 21:30:26-03:00,,,,66914.0,
2020-11-30 21:31:07-03:00,,,0.0,,
2020-11-30 21:31:12-03:00,,,,,237641.0
2020-11-30 21:33:31-03:00,0.0,,,,
2020-11-30 21:33:59-03:00,,228608.0,,,
2020-11-30 21:35:26-03:00,,,,66914.0,
2020-11-30 21:36:08-03:00,,,0.0,,
2020-11-30 21:36:13-03:00,,,,,237644.0
2020-11-30 21:38:32-03:00,0.0,,,,
2020-11-30 21:39:00-03:00,,228610.0,,,
2020-11-30 21:40:26-03:00,,,,66914.0,
2020-11-30 21:41:08-03:00,,,0.0,,
2020-11-30 21:41:13-03:00,,,,,237646.0
2020-11-30 21:43:32-03:00,0.0,,,,
2020-11-30 21:44:00-03:00,,228613.0,,,
2020-11-30 21:45:26-03:00,,,,66914.0,
2020-11-30 21:46:08-03:00,,,0.0,,
2020-11-30 21:46:13-03:00,,,,,237649.0
2020-11-30 21:48:32-03:00,0.0,,,,
2020-11-30 21:49:00-03:00,,228615.0,,,
2020-11-30 21:50:27-03:00,,,,66914.0,
2020-11-30 21:51:09-03:00,,,0.0,,
2020-11-30 21:51:13-03:00,,,,,237651.0
2020-11-30 21:53:33-03:00,0.0,,,,
2020-11-30 21:54:00-03:00,,228618.0,,,
2020-11-30 21:55:27-03:00,,,,66914.0,
2020-11-30 21:56:09-03:00,,,0.0,,
2020-11-30 21:56:14-03:00,,,,,237654.0
2020-11-30 21:58:33-03:00,0.0,,,,
2020-11-30 21:59:01-03:00,,228620.0,,,
2020-11-30 22:00:27-03:00,,,,66914.0,
2020-11-30 22:01:09-03:00,,,0.0,,
2020-11-30 22:01:14-03:00,,,,,237657.0
2020-11-30 22:03:33-03:00,0.0,,,,
2020-11-30 22:04:02-03:00,,228623.0,,,
2020-11-30 22:05:28-03:00,,,,66914.0,
2020-11-30 22:06:10-03:00,,,0.0,,
2020-11-30 22:06:14-03:00,,,,,237659.0
2020-11-30 22:08:34-03:00,0.0,,,,
2020-11-30 22:09:02-03:00,,228625.0,,,
2020-11-30 22:10:28-03:00,,,,66914.0,
2020-11-30 22:11:10-03:00,,,0.0,,
2020-11-30 22:11:15-03:00,,,,,237662.0
2020-11-30 22:13:34-03:00,0.0,,,,
2020-11-30 22:14:02-03:00,,228628.0,,,
2020-11-30 22:15:28-03:00,,,,66914.0,
2020-11-30 22:16:11-03:00,,,0.0,,
2020-11-30 22:16:15-03:00,,,,,237664.0
2020-11-30 22:18:34-03:00,0.0,,,,
2020-11-30 22:19:03-03:00,,228630.0,,,
2020-11-30 22:20:29-03:00,,,,66914.0,
2020-11-30 22:21:11-03:00,,,0.0,,
2020-11-30 22:21:15-03:00,,,,,237667.0
2020-11-30 22:23:35-03:00,0.0,,,,
2020-11-30 22:24:03-03:00,,228633.0,,,
2020-11-30 22:24:43-03:00,,,,66914.0,
2020-11-30 22:26:11-03:00,,,0.0,,
2020-11-30 22:26:16-03:00,,,,,237669.0
2020-11-30 22:28:35-03:00,0.0,,,,
2020-11-30 22:29:03-03:00,,228635.0,,,
2020-11-30 22:29:43-03:00,,,,66914.0,
2020-11-30 22:31:12-03:00,,,0.0,,
2020-11-30 22:31:16-03:00,,,,,237672.0
2020-11-30 22:33:35-03:00,0.0,,,,
2020-11-30 22:34:04-03:00,,228638.0,,,
2020-11-30 22:34:44-03:00,,,,66914.0,
2020-11-30 22:36:12-03:00,,,0.0,,
2020-11-30 22:36:16-03:00,,,,,237674.0
2020-11-30 22:38:36-03:00,0.0,,,,
2020-11-30 22:39:04-03:00,,228640.0,,,
2020-11-30 22:39:44-03:00,,,,66914.0,
2020-11-30 22:41:12-03:00,,,0.0,,
2020-11-30 22:41:17-03:00,,,,,237677.0
2020-11-30 22:43:36-03:00,0.0,,,,
2020-11-30 22:44:04-03:00,,228643.0,,,
2020-11-30 22:44:44-03:00,,,,66914.0,
2020-11-30 22:46:12-03:00,,,0.0,,
2020-11-30 22:46:17-03:00,,,,,237679.0
2020-11-30 22:48:36-03:00,0.0,,,,
2020-11-30 22:49:04-03:00,,228645.0,,,
2020-11-30 22:49:45-03:00,,,,66915.0,
2020-11-30 22:51:13-03:00,,,0.0,,
2020-11-30 22:51:17-03:00,,,,,237682.0
2020-11-30 22:53:37-03:00,0.0,,,,
2020-11-30 22:54:05-03:00,,228648.0,,,
2020-11-30 22:54:45-03:00,,,,66916.0,
2020-11-30 22:56:13-03:00,,,0.0,,
2020-11-30 22:56:18-03:00,,,,,237684.0
2020-11-30 22:58:37-03:00,0.0,,,,
2020-11-30 22:59:05-03:00,,228650.0,,,
2020-11-30 22:59:45-03:00,,,,66918.0,
2020-11-30 23:01:13-03:00,,,0.0,,
2020-11-30 23:01:18-03:00,,,,,237687.0
2020-11-30 23:03:37-03:00,0.0,,,,
2020-11-30 23:04:05-03:00,,228653.0,,,
2020-11-30 23:04:45-03:00,,,,66920.0,
2020-11-30 23:06:14-03:00,,,0.0,,
2020-11-30 23:06:18-03:00,,,,,237690.0
2020-11-30 23:08:38-03:00,0.0,,,,
2020-11-30 23:09:06-03:00,,228655.0,,,
2020-11-30 23:09:46-03:00,,,,66921.0,
2020-11-30 23:11:14-03:00,,,0.0,,
