date,APR La Peña >> Pozo Dren >> Volumen Pozo Dren 2(9282),APR La Peña >> Estanque 2 >> Volumen de Salida(9451),APR La Peña >> Pozo 3 >> Volumen Pozo 3(9337),APR La Peña >> Pozo 4 >> Volumen Pozo 4(20626)
2020-11-30 21:00:48-03:00,,3370.0,,
2020-11-30 21:00:59-03:00,20967.0,,,
2020-11-30 21:02:47-03:00,,,,2379.0
2020-11-30 21:03:31-03:00,,3370.0,,
2020-11-30 21:04:00-03:00,,,79120.0,
2020-11-30 21:04:06-03:00,,,79120.0,
2020-11-30 21:04:46-03:00,20968.0,,,
2020-11-30 21:05:49-03:00,,3370.0,,
2020-11-30 21:06:00-03:00,20968.0,,,
2020-11-30 21:07:48-03:00,,,,2379.0
2020-11-30 21:08:31-03:00,,3370.0,,
2020-11-30 21:09:00-03:00,,,79121.0,
2020-11-30 21:09:07-03:00,,,79121.0,
2020-11-30 21:09:47-03:00,20969.0,,,
2020-11-30 21:10:49-03:00,,3370.0,,
2020-11-30 21:11:00-03:00,20969.0,,,
2020-11-30 21:12:48-03:00,,,,2379.0
2020-11-30 21:13:32-03:00,,3370.0,,
2020-11-30 21:14:01-03:00,,,79123.0,
2020-11-30 21:14:07-03:00,,,79123.0,
2020-11-30 21:14:47-03:00,20970.0,,,
2020-11-30 21:15:49-03:00,,3370.0,,
2020-11-30 21:16:01-03:00,20970.0,,,
2020-11-30 21:17:48-03:00,,,,2379.0
2020-11-30 21:18:32-03:00,,3370.0,,
2020-11-30 21:19:01-03:00,,,79124.0,
2020-11-30 21:19:07-03:00,,,79124.0,
2020-11-30 21:19:48-03:00,20971.0,,,
2020-11-30 21:20:50-03:00,,3370.0,,
2020-11-30 21:21:02-03:00,20970.0,,,
2020-11-30 21:22:49-03:00,,,,2379.0
2020-11-30 21:23:32-03:00,,3370.0,,
2020-11-30 21:24:01-03:00,,,79126.0,
2020-11-30 21:24:08-03:00,,,79126.0,
2020-11-30 21:24:48-03:00,20971.0,,,
2020-11-30 21:25:50-03:00,,3370.0,,
2020-11-30 21:26:02-03:00,20971.0,,,
2020-11-30 21:27:49-03:00,,,,2379.0
2020-11-30 21:28:33-03:00,,3370.0,,
2020-11-30 21:28:40-03:00,20972.0,,,
2020-11-30 21:29:01-03:00,,,79127.0,
2020-11-30 21:29:08-03:00,,,79127.0,
2020-11-30 21:29:53-03:00,20972.0,,,
2020-11-30 21:30:50-03:00,,3370.0,,
2020-11-30 21:32:49-03:00,,,,2379.0
2020-11-30 21:33:33-03:00,,3370.0,,
2020-11-30 21:33:40-03:00,20973.0,,,
2020-11-30 21:34:02-03:00,,,79128.0,
2020-11-30 21:34:08-03:00,,,79128.0,
2020-11-30 21:34:49-03:00,20973.0,,,
2020-11-30 21:35:51-03:00,,3370.0,,
2020-11-30 21:37:50-03:00,,,,2379.0
2020-11-30 21:38:33-03:00,,3370.0,,
2020-11-30 21:38:41-03:00,20974.0,,,
2020-11-30 21:39:02-03:00,,,79130.0,
2020-11-30 21:39:08-03:00,,,79130.0,
2020-11-30 21:39:50-03:00,20974.0,,,
2020-11-30 21:40:51-03:00,,3370.0,,
2020-11-30 21:42:50-03:00,,,,2379.0
2020-11-30 21:43:34-03:00,,3370.0,,
2020-11-30 21:44:02-03:00,,,79131.0,
2020-11-30 21:44:09-03:00,,,79131.0,
2020-11-30 21:45:51-03:00,,3370.0,,
2020-11-30 21:46:02-03:00,20975.0,,,
2020-11-30 21:46:19-03:00,20975.0,,,
2020-11-30 21:47:50-03:00,,,,2379.0
2020-11-30 21:48:34-03:00,,3370.0,,
2020-11-30 21:49:03-03:00,,,79132.0,
2020-11-30 21:49:09-03:00,,,79132.0,
2020-11-30 21:50:51-03:00,,3370.0,,
2020-11-30 21:51:04-03:00,20976.0,,,
2020-11-30 21:51:22-03:00,20976.0,,,
2020-11-30 21:52:50-03:00,,,,2379.0
2020-11-30 21:53:34-03:00,,3370.0,,
2020-11-30 21:54:03-03:00,,,79133.0,
2020-11-30 21:54:09-03:00,,,79133.0,
2020-11-30 21:55:52-03:00,,3370.0,,
2020-11-30 21:56:05-03:00,20977.0,,,
2020-11-30 21:56:23-03:00,20977.0,,,
2020-11-30 21:57:51-03:00,,,,2379.0
2020-11-30 21:58:34-03:00,,3370.0,,
2020-11-30 21:59:03-03:00,,,79135.0,
2020-11-30 21:59:10-03:00,,,79135.0,
2020-11-30 22:00:52-03:00,,3370.0,,
2020-11-30 22:01:05-03:00,20977.0,,,
2020-11-30 22:01:23-03:00,20978.0,,,
2020-11-30 22:02:51-03:00,,,,2379.0
2020-11-30 22:03:35-03:00,,3370.0,,
2020-11-30 22:04:04-03:00,,,79136.0,
2020-11-30 22:04:10-03:00,,,79136.0,
2020-11-30 22:05:40-03:00,20978.0,,,
