date,APR Las Calderas RP1 >> Estanque Elevado 1 >> Volumen Salida Estanque Base(14135),APR Las Calderas RP1 >> Pozo Pedrero >> Volumen Pozo Pedrero(14069)
2020-11-30 21:02:11-03:00,94484.0,
2020-11-30 21:03:52-03:00,,8952.0
2020-11-30 21:07:11-03:00,94488.0,
2020-11-30 21:08:53-03:00,,8952.0
2020-11-30 21:12:11-03:00,94492.0,
2020-11-30 21:13:53-03:00,,8953.0
2020-11-30 21:17:11-03:00,94495.0,
2020-11-30 21:18:53-03:00,,8953.0
2020-11-30 21:22:12-03:00,94499.0,
2020-11-30 21:23:54-03:00,,8953.0
2020-11-30 21:27:12-03:00,94502.0,
2020-11-30 21:28:54-03:00,,8953.0
2020-11-30 21:32:12-03:00,94505.0,
2020-11-30 21:33:54-03:00,,8953.0
2020-11-30 21:37:13-03:00,94508.0,
2020-11-30 21:38:55-03:00,,8953.0
2020-11-30 21:42:13-03:00,94511.0,
2020-11-30 21:43:55-03:00,,8953.0
2020-11-30 21:47:13-03:00,94514.0,
2020-11-30 21:48:55-03:00,,8953.0
2020-11-30 21:52:14-03:00,94517.0,
2020-11-30 21:53:56-03:00,,8953.0
2020-11-30 21:57:14-03:00,94519.0,
2020-11-30 21:58:56-03:00,,8953.0
2020-11-30 22:02:14-03:00,94522.0,
2020-11-30 22:03:57-03:00,,8953.0
2020-11-30 22:07:15-03:00,94525.0,
2020-11-30 22:08:57-03:00,,8953.0
2020-11-30 22:12:15-03:00,94528.0,
2020-11-30 22:13:57-03:00,,8953.0
2020-11-30 22:17:15-03:00,94530.0,
2020-11-30 22:18:57-03:00,,8954.0
2020-11-30 22:22:16-03:00,94533.0,
2020-11-30 22:23:58-03:00,,8954.0
2020-11-30 22:27:16-03:00,94535.0,
2020-11-30 22:28:58-03:00,,8955.0
2020-11-30 22:32:16-03:00,94538.0,
2020-11-30 22:33:58-03:00,,8955.0
2020-11-30 22:37:16-03:00,94541.0,
2020-11-30 22:38:59-03:00,,8956.0
2020-11-30 22:42:17-03:00,94544.0,
2020-11-30 22:43:59-03:00,,8957.0
2020-11-30 22:47:17-03:00,94547.0,
2020-11-30 22:48:59-03:00,,8957.0
2020-11-30 22:52:17-03:00,94549.0,
2020-11-30 22:54:00-03:00,,8958.0
2020-11-30 22:57:18-03:00,94552.0,
2020-11-30 22:59:00-03:00,,8959.0
2020-11-30 23:02:18-03:00,94554.0,
2020-11-30 23:04:00-03:00,,8959.0
2020-11-30 23:07:18-03:00,94557.0,
2020-11-30 23:09:01-03:00,,8959.0
2020-11-30 23:12:19-03:00,94560.0,
2020-11-30 23:14:01-03:00,,8959.0
2020-11-30 23:17:19-03:00,94562.0,
2020-11-30 23:19:01-03:00,,8959.0
