date,APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 2(22804),APR Las Canteras >> Caseta 7 >> Estado Bomba Elevadora 1(22793),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 2(22739),APR Las Canteras >> Caseta 1 >> Estado Bomba Elevadora 1(22728)
2020-11-30 21:02:00-03:00,,,0.0,0.0
2020-11-30 21:02:08-03:00,0.0,0.0,,
2020-11-30 21:07:00-03:00,,,0.0,0.0
2020-11-30 21:07:07-03:00,0.0,0.0,,
2020-11-30 21:12:00-03:00,,,0.0,0.0
2020-11-30 21:12:08-03:00,0.0,0.0,,
2020-11-30 21:17:01-03:00,,,0.0,0.0
2020-11-30 21:17:08-03:00,0.0,0.0,,
2020-11-30 21:22:01-03:00,,,0.0,0.0
2020-11-30 21:22:08-03:00,0.0,0.0,,
2020-11-30 21:27:01-03:00,,,0.0,0.0
2020-11-30 21:27:09-03:00,0.0,0.0,,
2020-11-30 21:32:02-03:00,,,0.0,0.0
2020-11-30 21:32:09-03:00,0.0,0.0,,
2020-11-30 21:37:02-03:00,,,0.0,0.0
2020-11-30 21:37:09-03:00,0.0,0.0,,
2020-11-30 21:42:02-03:00,,,0.0,0.0
2020-11-30 21:42:09-03:00,0.0,0.0,,
2020-11-30 21:47:03-03:00,,,0.0,0.0
2020-11-30 21:47:10-03:00,0.0,0.0,,
2020-11-30 21:52:03-03:00,,,0.0,0.0
2020-11-30 21:52:10-03:00,0.0,0.0,,
2020-11-30 21:57:03-03:00,,,0.0,0.0
2020-11-30 21:57:10-03:00,0.0,0.0,,
2020-11-30 22:02:03-03:00,,,0.0,0.0
2020-11-30 22:02:12-03:00,0.0,0.0,,
2020-11-30 22:07:04-03:00,,,0.0,0.0
2020-11-30 22:07:12-03:00,0.0,0.0,,
2020-11-30 22:12:04-03:00,,,0.0,0.0
2020-11-30 22:12:12-03:00,0.0,0.0,,
2020-11-30 22:17:04-03:00,,,0.0,0.0
2020-11-30 22:17:13-03:00,0.0,0.0,,
2020-11-30 22:22:05-03:00,,,0.0,0.0
2020-11-30 22:22:13-03:00,0.0,0.0,,
2020-11-30 22:27:05-03:00,,,0.0,0.0
2020-11-30 22:27:13-03:00,0.0,0.0,,
2020-11-30 22:32:05-03:00,,,0.0,0.0
