date,APR Los Caleos >> Estanques Acumuladores >> Volumen Salida Bombas Elevadoras(26326),APR Los Caleos >> Pozos y Bombas Elevadoras >> Volumen Pozos(9919)
2020-11-30 21:01:09-03:00,5439.0,
2020-11-30 21:02:56-03:00,,60773.0
2020-11-30 21:06:09-03:00,5439.0,
2020-11-30 21:07:56-03:00,,60774.0
2020-11-30 21:11:10-03:00,5439.0,
2020-11-30 21:12:56-03:00,,60776.0
2020-11-30 21:16:10-03:00,5439.0,
2020-11-30 21:17:56-03:00,,60777.0
2020-11-30 21:21:10-03:00,5439.0,
2020-11-30 21:22:57-03:00,,60778.0
2020-11-30 21:26:11-03:00,5439.0,
2020-11-30 21:27:57-03:00,,60780.0
2020-11-30 21:31:11-03:00,5439.0,
2020-11-30 21:32:57-03:00,,60781.0
2020-11-30 21:36:11-03:00,5439.0,
2020-11-30 21:37:57-03:00,,60783.0
2020-11-30 21:41:12-03:00,5439.0,
2020-11-30 21:42:58-03:00,,60784.0
2020-11-30 21:46:12-03:00,5439.0,
2020-11-30 21:47:58-03:00,,60785.0
2020-11-30 21:51:12-03:00,5439.0,
2020-11-30 21:52:58-03:00,,60787.0
2020-11-30 21:56:13-03:00,5439.0,
2020-11-30 21:57:59-03:00,,60788.0
2020-11-30 22:01:13-03:00,5439.0,
2020-11-30 22:03:00-03:00,,60789.0
2020-11-30 22:06:13-03:00,5439.0,
2020-11-30 22:08:00-03:00,,60791.0
2020-11-30 22:11:14-03:00,5439.0,
2020-11-30 22:13:00-03:00,,60792.0
2020-11-30 22:16:14-03:00,5439.0,
2020-11-30 22:18:01-03:00,,60794.0
2020-11-30 22:21:14-03:00,5439.0,
2020-11-30 22:23:01-03:00,,60795.0
2020-11-30 22:26:15-03:00,5439.0,
2020-11-30 22:28:01-03:00,,60796.0
2020-11-30 22:31:15-03:00,5439.0,
2020-11-30 22:33:02-03:00,,60798.0
2020-11-30 22:36:15-03:00,5439.0,
2020-11-30 22:38:02-03:00,,60799.0
2020-11-30 22:41:16-03:00,5439.0,
2020-11-30 22:43:02-03:00,,60801.0
2020-11-30 22:46:16-03:00,5439.0,
2020-11-30 22:48:03-03:00,,60802.0
2020-11-30 22:51:16-03:00,5439.0,
2020-11-30 22:53:03-03:00,,60803.0
2020-11-30 22:56:16-03:00,5439.0,
2020-11-30 22:58:03-03:00,,60805.0
2020-11-30 23:01:17-03:00,5439.0,
2020-11-30 23:03:03-03:00,,60806.0
2020-11-30 23:06:17-03:00,5439.0,
2020-11-30 23:08:03-03:00,,60807.0
2020-11-30 23:11:17-03:00,5439.0,
2020-11-30 23:13:04-03:00,,60809.0
2020-11-30 23:16:18-03:00,5439.0,
2020-11-30 23:18:04-03:00,,60810.0
2020-11-30 23:21:18-03:00,5439.0,
2020-11-30 23:23:05-03:00,,60812.0
2020-11-30 23:26:18-03:00,5439.0,
2020-11-30 23:28:05-03:00,,60813.0
2020-11-30 23:31:19-03:00,5439.0,
2020-11-30 23:33:05-03:00,,60814.0
2020-11-30 23:36:19-03:00,5439.0,
2020-11-30 23:38:06-03:00,,60816.0
2020-11-30 23:41:19-03:00,5439.0,
2020-11-30 23:43:06-03:00,,60817.0
2020-11-30 23:46:20-03:00,5439.0,
2020-11-30 23:48:06-03:00,,60819.0
2020-11-30 23:51:20-03:00,5439.0,
2020-11-30 23:53:07-03:00,,60820.0
2020-11-30 23:56:20-03:00,5439.0,
2020-11-30 23:58:07-03:00,,60821.0
2020-12-01 00:01:21-03:00,5439.0,
2020-12-01 00:03:07-03:00,,60822.0
2020-12-01 00:06:21-03:00,5439.0,
2020-12-01 00:08:08-03:00,,60822.0
2020-12-01 00:11:21-03:00,5439.0,
2020-12-01 00:13:08-03:00,,60822.0
2020-12-01 00:16:22-03:00,5439.0,
2020-12-01 00:18:08-03:00,,60822.0
2020-12-01 00:21:22-03:00,5439.0,
2020-12-01 00:23:08-03:00,,60822.0
2020-12-01 00:26:22-03:00,5439.0,
2020-12-01 00:28:09-03:00,,60822.0
2020-12-01 00:31:23-03:00,5439.0,
2020-12-01 00:33:09-03:00,,60822.0
2020-12-01 00:36:23-03:00,5439.0,
2020-12-01 00:38:09-03:00,,60822.0
2020-12-01 00:41:23-03:00,5439.0,
2020-12-01 00:43:10-03:00,,60822.0
2020-12-01 00:46:23-03:00,5439.0,
2020-12-01 00:48:10-03:00,,60822.0
2020-12-01 00:51:24-03:00,5439.0,
2020-12-01 00:53:10-03:00,,60822.0
2020-12-01 00:56:24-03:00,5439.0,
2020-12-01 00:58:11-03:00,,60822.0
2020-12-01 01:01:24-03:00,5439.0,
2020-12-01 01:03:11-03:00,,60822.0
2020-12-01 01:06:25-03:00,5439.0,
2020-12-01 01:08:11-03:00,,60822.0
2020-12-01 01:11:25-03:00,5439.0,
2020-12-01 01:13:11-03:00,,60822.0
2020-12-01 01:16:25-03:00,5439.0,
2020-12-01 01:18:11-03:00,,60822.0
2020-12-01 01:21:26-03:00,5439.0,
2020-12-01 01:23:12-03:00,,60822.0
2020-12-01 01:26:26-03:00,5439.0,
2020-12-01 01:28:12-03:00,,60822.0
2020-12-01 01:31:26-03:00,5439.0,
2020-12-01 01:33:12-03:00,,60822.0
2020-12-01 01:36:27-03:00,5439.0,
2020-12-01 01:38:13-03:00,,60823.0
2020-12-01 01:41:27-03:00,5439.0,
2020-12-01 01:43:13-03:00,,60824.0
2020-12-01 01:46:27-03:00,5439.0,
2020-12-01 01:48:13-03:00,,60826.0
2020-12-01 01:51:28-03:00,5439.0,
2020-12-01 01:53:13-03:00,,60827.0
2020-12-01 01:56:28-03:00,5439.0,
2020-12-01 01:58:14-03:00,,60828.0
2020-12-01 02:01:28-03:00,5439.0,
2020-12-01 02:03:15-03:00,,60830.0
2020-12-01 02:06:29-03:00,5439.0,
2020-12-01 02:08:15-03:00,,60831.0
2020-12-01 02:11:29-03:00,5439.0,
2020-12-01 02:13:15-03:00,,60833.0
2020-12-01 02:16:29-03:00,5439.0,
2020-12-01 02:18:16-03:00,,60834.0
2020-12-01 02:21:30-03:00,5439.0,
2020-12-01 02:23:16-03:00,,60835.0
2020-12-01 02:26:30-03:00,5439.0,
2020-12-01 02:28:16-03:00,,60837.0
2020-12-01 02:31:30-03:00,5439.0,
2020-12-01 02:33:17-03:00,,60837.0
2020-12-01 02:36:31-03:00,5439.0,
2020-12-01 02:38:17-03:00,,60837.0
2020-12-01 02:41:31-03:00,5439.0,
2020-12-01 02:43:17-03:00,,60837.0
2020-12-01 02:46:31-03:00,5439.0,
2020-12-01 02:48:17-03:00,,60837.0
2020-12-01 02:51:32-03:00,5439.0,
2020-12-01 02:53:18-03:00,,60837.0
2020-12-01 02:56:32-03:00,5439.0,
2020-12-01 02:58:18-03:00,,60837.0
2020-12-01 03:01:32-03:00,5439.0,
2020-12-01 03:03:18-03:00,,60837.0
2020-12-01 03:06:32-03:00,5439.0,
2020-12-01 03:08:18-03:00,,60837.0
2020-12-01 03:11:33-03:00,5439.0,
2020-12-01 03:13:19-03:00,,60837.0
2020-12-01 03:16:33-03:00,5439.0,
2020-12-01 03:18:19-03:00,,60837.0
2020-12-01 03:21:33-03:00,5439.0,
2020-12-01 03:23:19-03:00,,60837.0
2020-12-01 03:26:34-03:00,5439.0,
2020-12-01 03:28:19-03:00,,60837.0
2020-12-01 03:31:34-03:00,5439.0,
2020-12-01 03:33:20-03:00,,60837.0
2020-12-01 03:36:34-03:00,5439.0,
2020-12-01 03:38:20-03:00,,60837.0
2020-12-01 03:41:35-03:00,5439.0,
2020-12-01 03:43:21-03:00,,60837.0
2020-12-01 03:46:35-03:00,5439.0,
2020-12-01 03:48:21-03:00,,60837.0
2020-12-01 03:51:35-03:00,5439.0,
2020-12-01 03:53:22-03:00,,60837.0
2020-12-01 03:56:36-03:00,5439.0,
2020-12-01 03:58:22-03:00,,60837.0
2020-12-01 04:01:36-03:00,5439.0,
2020-12-01 04:03:22-03:00,,60837.0
2020-12-01 04:06:36-03:00,5439.0,
2020-12-01 04:08:22-03:00,,60837.0
2020-12-01 04:11:37-03:00,5439.0,
2020-12-01 04:13:23-03:00,,60837.0
2020-12-01 04:16:37-03:00,5439.0,
2020-12-01 04:18:23-03:00,,60837.0
2020-12-01 04:21:37-03:00,5439.0,
2020-12-01 04:23:23-03:00,,60837.0
2020-12-01 04:26:37-03:00,5439.0,
2020-12-01 04:28:24-03:00,,60837.0
2020-12-01 04:31:38-03:00,5439.0,
2020-12-01 04:33:24-03:00,,60838.0
2020-12-01 04:36:38-03:00,5439.0,
2020-12-01 04:38:24-03:00,,60840.0
2020-12-01 04:41:38-03:00,5439.0,
2020-12-01 04:43:25-03:00,,60841.0
2020-12-01 04:46:39-03:00,5439.0,
2020-12-01 04:48:25-03:00,,60842.0
2020-12-01 04:51:39-03:00,5439.0,
2020-12-01 04:53:25-03:00,,60844.0
2020-12-01 04:56:39-03:00,5439.0,
2020-12-01 04:58:26-03:00,,60845.0
2020-12-01 05:01:40-03:00,5439.0,
