date,APR Los Cerrillos >> Estanques Acumuladores >> Volumen Acumulado Salida(12882),APR Los Cerrillos >> Pozo >> Volumen Pozo(12776)
2020-11-30 21:01:01-03:00,,98556.0
2020-11-30 21:01:02-03:00,,98556.0
2020-11-30 21:02:28-03:00,0.0,
2020-11-30 21:06:02-03:00,,98556.0
2020-11-30 21:07:29-03:00,0.0,
2020-11-30 21:11:02-03:00,,98556.0
2020-11-30 21:12:29-03:00,0.0,
2020-11-30 21:16:02-03:00,,98558.0
2020-11-30 21:17:29-03:00,0.0,
2020-11-30 21:21:03-03:00,,98561.0
2020-11-30 21:22:30-03:00,0.0,
2020-11-30 21:26:03-03:00,,98563.0
2020-11-30 21:27:30-03:00,0.0,
2020-11-30 21:31:03-03:00,,98566.0
2020-11-30 21:32:30-03:00,0.0,
2020-11-30 21:36:03-03:00,,98569.0
2020-11-30 21:36:04-03:00,,98569.0
2020-11-30 21:37:31-03:00,0.0,
2020-11-30 21:41:04-03:00,,98571.0
2020-11-30 21:42:31-03:00,0.0,
2020-11-30 21:46:04-03:00,,98574.0
2020-11-30 21:47:31-03:00,0.0,
2020-11-30 21:51:04-03:00,,98576.0
2020-11-30 21:51:05-03:00,,98576.0
2020-11-30 21:52:32-03:00,0.0,
2020-11-30 21:56:05-03:00,,98579.0
2020-11-30 21:57:32-03:00,0.0,
2020-11-30 22:01:05-03:00,,98581.0
2020-11-30 22:02:32-03:00,0.0,
2020-11-30 22:06:05-03:00,,98584.0
2020-11-30 22:06:06-03:00,,98584.0
2020-11-30 22:07:33-03:00,0.0,
2020-11-30 22:11:06-03:00,,98587.0
2020-11-30 22:12:33-03:00,0.0,
2020-11-30 22:16:06-03:00,,98589.0
2020-11-30 22:17:34-03:00,0.0,
2020-11-30 22:21:06-03:00,,98592.0
2020-11-30 22:22:34-03:00,0.0,
2020-11-30 22:26:07-03:00,,98594.0
2020-11-30 22:27:34-03:00,0.0,
2020-11-30 22:31:07-03:00,,98597.0
2020-11-30 22:32:34-03:00,0.0,
2020-11-30 22:36:07-03:00,,98599.0
2020-11-30 22:37:35-03:00,0.0,
2020-11-30 22:41:07-03:00,,98602.0
2020-11-30 22:41:08-03:00,,98602.0
2020-11-30 22:42:35-03:00,0.0,
2020-11-30 22:46:08-03:00,,98603.0
2020-11-30 22:47:35-03:00,0.0,
2020-11-30 22:51:08-03:00,,98603.0
2020-11-30 22:52:36-03:00,0.0,
2020-11-30 22:56:08-03:00,,98603.0
2020-11-30 22:56:09-03:00,,98603.0
2020-11-30 22:57:36-03:00,0.0,
2020-11-30 23:01:09-03:00,,98603.0
2020-11-30 23:02:36-03:00,0.0,
2020-11-30 23:06:09-03:00,,98603.0
2020-11-30 23:07:37-03:00,0.0,
2020-11-30 23:11:09-03:00,,98603.0
2020-11-30 23:11:10-03:00,,98603.0
2020-11-30 23:12:37-03:00,0.0,
2020-11-30 23:16:10-03:00,,98603.0
2020-11-30 23:17:37-03:00,0.0,
2020-11-30 23:21:10-03:00,,98603.0
2020-11-30 23:22:38-03:00,0.0,
2020-11-30 23:26:10-03:00,,98603.0
2020-11-30 23:27:38-03:00,0.0,
2020-11-30 23:31:11-03:00,,98603.0
2020-11-30 23:32:38-03:00,0.0,
2020-11-30 23:36:11-03:00,,98603.0
2020-11-30 23:37:39-03:00,0.0,
2020-11-30 23:41:11-03:00,,98603.0
2020-11-30 23:42:39-03:00,0.0,
2020-11-30 23:46:11-03:00,,98603.0
2020-11-30 23:46:12-03:00,,98603.0
2020-11-30 23:47:39-03:00,0.0,
2020-11-30 23:51:12-03:00,,98603.0
2020-11-30 23:52:39-03:00,0.0,
2020-11-30 23:56:12-03:00,,98603.0
2020-11-30 23:57:40-03:00,0.0,
2020-12-01 00:01:12-03:00,,98603.0
2020-12-01 00:01:13-03:00,,98603.0
2020-12-01 00:02:40-03:00,0.0,
2020-12-01 00:06:13-03:00,,98603.0
2020-12-01 00:07:41-03:00,0.0,
2020-12-01 00:11:13-03:00,,98603.0
2020-12-01 00:12:41-03:00,0.0,
2020-12-01 00:16:13-03:00,,98603.0
2020-12-01 00:17:41-03:00,0.0,
2020-12-01 00:21:13-03:00,,98603.0
2020-12-01 00:21:14-03:00,,98603.0
2020-12-01 00:22:41-03:00,0.0,
2020-12-01 00:26:14-03:00,,98605.0
2020-12-01 00:27:42-03:00,0.0,
2020-12-01 00:31:14-03:00,,98607.0
2020-12-01 00:32:42-03:00,0.0,
2020-12-01 00:36:14-03:00,,98610.0
2020-12-01 00:36:15-03:00,,98610.0
2020-12-01 00:37:42-03:00,0.0,
2020-12-01 00:41:15-03:00,,98612.0
2020-12-01 00:42:43-03:00,0.0,
2020-12-01 00:46:15-03:00,,98615.0
2020-12-01 00:47:43-03:00,0.0,
2020-12-01 00:51:15-03:00,,98617.0
2020-12-01 00:51:16-03:00,,98617.0
2020-12-01 00:52:43-03:00,0.0,
2020-12-01 00:56:16-03:00,,98620.0
2020-12-01 00:57:44-03:00,0.0,
2020-12-01 01:01:16-03:00,,98623.0
2020-12-01 01:02:44-03:00,0.0,
2020-12-01 01:06:16-03:00,,98625.0
2020-12-01 01:07:44-03:00,0.0,
2020-12-01 01:11:17-03:00,,98626.0
2020-12-01 01:12:45-03:00,0.0,
2020-12-01 01:16:17-03:00,,98626.0
2020-12-01 01:17:45-03:00,0.0,
2020-12-01 01:21:17-03:00,,98626.0
2020-12-01 01:22:45-03:00,0.0,
2020-12-01 01:26:17-03:00,,98626.0
2020-12-01 01:26:18-03:00,,98626.0
2020-12-01 01:27:46-03:00,0.0,
